sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,46,,良好,3.7,0.28,54,50,32,11,12,13.6,0.7,0.3,358,"2026/04/22 16:00:00",0.2,10.2,23,1,121.760056,25.129167,1
汐止,新北市,67,臭氧八小時,普通,3.2,0.3,52,60,40,15,18,19,0.9,2.3,70,"2026/04/22 16:00:00",0.3,16.7,32,1,121.64081,25.06624,2
新店,新北市,87,臭氧八小時,普通,2.1,0.34,64,66,57,29,12,13.7,1.2,2.3,347,"2026/04/22 16:00:00",0.3,23.9,37,0,121.537778,24.977222,4
土城,新北市,79,細懸浮微粒,普通,1.7,0.32,54,61,56,27,13,14.2,1.1,1.9,235,"2026/04/22 16:00:00",0.3,22.6,43,0,121.451861,24.982528,5
板橋,新北市,81,細懸浮微粒,普通,2.7,0.34,53,62,46,23,10,11,0.5,2,267,"2026/04/22 16:00:00",0.4,23.5,37,1,121.458667,25.012972,6
新莊,新北市,75,細懸浮微粒,普通,,,52,,56,23,,,,3.1,257,"2026/04/22 16:00:00",0.3,21.3,47,0,121.4325,25.037972,7
菜寮,新北市,84,細懸浮微粒,普通,2.1,0.3,55,62,57,32,14,17.3,2.5,2.5,12,"2026/04/22 16:00:00",0.3,24.7,45,0,121.481028,25.06895,8
林口,新北市,82,細懸浮微粒,普通,1.6,0.24,47,54,59,23,6,8.1,1.2,3.3,260,"2026/04/22 16:00:00",0.3,23.9,43,1,121.36548982,25.07798949,9
淡水,新北市,76,細懸浮微粒,普通,2.6,0.28,61,60,47,23,9,18.7,9.3,,,"2026/04/22 16:00:00",0.3,21.7,39,1,121.449239,25.1645,10
士林,臺北市,77,細懸浮微粒,普通,1.9,0.28,59,63,63,26,13,13.5,0.4,2.6,324,"2026/04/22 16:00:00",0.3,22,46,0,121.51666356,25.10334003,11
中山,臺北市,85,細懸浮微粒,普通,1.7,0.43,49,57,73,31,23,26.5,3.4,2.2,358,"2026/04/22 16:00:00",0.4,25,48,0,121.526528,25.062361,12
